blank1,blank2,sucrose1 ,sucrose2
0.001206273,0.003984064,0.006119951,0
0,0.002656042,0.00244798,0.001390821
0,0.002656042,0,0.004172462
0.002412545,0.003984064,0,0.011126565
0.007237636,0.007968127,0.003671971,0.018080668
0.014475271,0.013280212,0.004895961,0.026425591
0.02291918,0.02124834,0.012239902,0.037552156
0.032569361,0.03187251,0.020807834,0.051460362
0.043425814,0.04249668,0.029375765,0.065368567
0.057901086,0.054448871,0.040391677,0.082058414
0.072376357,0.070385126,0.055079559,0.098748261
0.090470446,0.08499336,0.070991432,0.116828929
0.110977081,0.104913679,0.086903305,0.140472879
0.130277443,0.123505976,0.105263158,0.162726008
0.150784077,0.144754316,0.124847001,0.184979138
0.173703257,0.168658699,0.145654835,0.210013908
0.197828709,0.192563081,0.167686659,0.23783032
0.224366707,0.217795485,0.192166463,0.26286509
0.250904704,0.247011952,0.217870257,0.292072323
0.279855247,0.270916335,0.244798042,0.319888734
0.306393245,0.300132802,0.271725826,0.349095967
0.33655006,0.328021248,0.301101591,0.38108484
0.365500603,0.357237716,0.331701346,0.410292072
0.394451146,0.385126162,0.358629131,0.443671766
0.425814234,0.420982736,0.389228886,0.470097357
0.455971049,0.451527224,0.417380661,0.503477051
0.486127865,0.478087649,0.450428397,0.535465925
0.518697226,0.508632138,0.479804162,0.564673157
0.547647768,0.539176627,0.511627907,0.598052851
0.580217129,0.569721116,0.542227662,0.624478442
0.609167672,0.600265604,0.571603427,0.653685675
0.64053076,0.630810093,0.603427173,0.684283727
0.670687575,0.66002656,0.631578947,0.71349096
0.698431846,0.689243028,0.663402693,0.73852573
0.726176116,0.717131474,0.691554468,0.763560501
0.751507841,0.743691899,0.717258262,0.791376912
0.779252111,0.768924303,0.746634027,0.813630042
0.804583836,0.796812749,0.773561812,0.838664812
0.827503016,0.81938911,0.798041616,0.859527121
0.849215923,0.841965471,0.82252142,0.877607789
0.869722557,0.864541833,0.843329253,0.898470097
0.890229192,0.887118194,0.866585067,0.913769124
0.910735826,0.90438247,0.886168911,0.930458971
