blank1,blank2,active1,active2
0.18,0.19,0.21,0.16
0.17,0.18,0.18,0.17
0.17,0.18,0.16,0.19
0.19,0.19,0.16,0.24
0.23,0.22,0.19,0.29
0.29,0.26,0.2,0.35
0.36,0.32,0.26,0.43
0.44,0.4,0.33,0.53
0.53,0.48,0.4,0.63
0.65,0.57,0.49,0.75
0.77,0.69,0.61,0.87
0.92,0.8,0.74,1
1.09,0.95,0.87,1.17
1.25,1.09,1.02,1.33
1.42,1.25,1.18,1.49
1.61,1.43,1.35,1.67
1.81,1.61,1.53,1.87
2.03,1.8,1.73,2.05
2.25,2.02,1.94,2.26
2.49,2.2,2.16,2.46
2.71,2.42,2.38,2.67
2.96,2.63,2.62,2.9
3.2,2.85,2.87,3.11
3.44,3.06,3.09,3.35
3.7,3.33,3.34,3.54
3.95,3.56,3.57,3.78
4.2,3.76,3.84,4.01
4.47,3.99,4.08,4.22
4.71,4.22,4.34,4.46
4.98,4.45,4.59,4.65
5.22,4.68,4.83,4.86
5.48,4.91,5.09,5.08
5.73,5.13,5.32,5.29
5.96,5.35,5.58,5.47
6.19,5.56,5.81,5.65
6.4,5.76,6.02,5.85
6.63,5.95,6.26,6.01
6.84,6.16,6.48,6.19
7.03,6.33,6.68,6.34
7.21,6.5,6.88,6.47
7.38,6.67,7.05,6.62
7.55,6.84,7.24,6.73
7.72,6.97,7.4,6.85
7.85,7.09,7.55,6.96
7.96,7.19,7.69,7.02
8.08,7.3,7.81,7.13
8.18,7.41,7.93,7.18
8.26,7.49,8.03,7.25
8.33,7.55,8.12,7.29
8.41,7.6,8.19,7.29
8.41,7.64,8.23,7.32
8.43,7.67,8.28,7.3
8.46,7.69,8.29,7.31
8.43,7.68,8.33,7.26
8.41,7.69,8.3,7.24
8.37,7.65,8.29,7.17
8.31,7.6,8.25,7.11
8.24,7.54,8.2,7.04
8.15,7.48,8.13,6.94
8.06,7.4,8.04,6.85
7.93,7.3,7.97,6.74
7.8,7.18,7.84,6.62
7.65,7.06,7.71,6.47
7.5,6.92,7.56,6.32
7.33,6.78,7.42,6.16
7.15,6.63,7.25,5.99
6.97,6.49,7.07,5.82
6.76,6.28,6.89,5.63
6.55,6.1,6.69,5.44
6.32,5.88,6.49,5.24
6.08,5.65,6.27,5.03
5.85,5.46,6.03,4.81
5.6,5.23,5.81,4.6
5.34,5,5.57,4.39
5.08,4.79,5.32,4.15
4.83,4.56,5.06,3.93
4.58,4.33,4.81,3.71
4.34,4.1,4.57,3.47
4.07,3.86,4.31,3.27
3.82,3.62,4.06,3.05
3.54,3.39,3.8,2.83
3.29,3.15,3.55,2.61
3.05,2.94,3.31,2.39
2.81,2.69,3.05,2.19
2.57,2.48,2.81,1.99
2.33,2.26,2.58,1.8
2.13,2.05,2.35,1.62
1.91,1.86,2.13,1.43
1.69,1.66,1.93,1.27
1.5,1.47,1.72,1.13
1.31,1.3,1.52,0.98
1.14,1.14,1.34,0.84
0.98,0.99,1.16,0.71
0.84,0.85,1,0.59
0.72,0.72,0.86,0.5
0.59,0.6,0.73,0.41
0.49,0.5,0.61,0.34
0.4,0.41,0.5,0.28
0.31,0.35,0.41,0.23
0.26,0.28,0.33,0.19
0.21,0.22,0.26,0.19
0.19,0.19,0.22,0.17
0.19,0.18,0.19,0.2
0.18,0.17,0.18,0.22
0.19,0.19,0.17,0.24
0.22,0.21,0.18,0.29
0.29,0.26,0.22,0.38
0.35,0.31,0.26,0.47
0.44,0.38,0.33,0.53
0.54,0.47,0.42,0.64
0.64,0.57,0.51,0.75
0.77,0.69,0.61,0.88
0.92,0.81,0.73,1.02
1.07,0.94,0.87,1.17
1.23,1.09,1.01,1.33
1.4,1.25,1.17,1.5
1.6,1.41,1.33,1.67
1.79,1.6,1.51,1.85
2,1.78,1.7,2.05
2.21,1.98,1.92,2.24
2.42,2.17,2.12,2.45
2.67,2.36,2.34,2.66
2.9,2.6,2.57,2.87
3.15,2.82,2.79,3.08
3.39,3.04,3.03,3.31
3.64,3.27,3.26,3.53
3.9,3.5,3.53,3.75
4.15,3.73,3.76,3.98
4.41,3.97,4.02,4.2
4.68,4.2,4.28,4.42
4.92,4.42,4.52,4.64
5.18,4.65,4.78,4.84
5.42,4.88,5.03,5.07
5.66,5.08,5.26,5.26
5.91,5.32,5.51,5.45
6.14,5.54,5.74,5.65
6.36,5.74,5.97,5.83
6.58,5.93,6.2,6
6.8,6.14,6.42,6.18
7,6.32,6.63,6.35
7.18,6.48,6.82,6.47
7.36,6.64,7.02,6.62
7.52,6.8,7.18,6.75
7.69,6.96,7.35,6.88
7.82,7.08,7.5,6.97
7.97,7.21,7.65,7.06
8.08,7.31,7.77,7.14
8.22,7.42,7.89,7.21
8.26,7.49,8,7.26
8.34,7.55,8.08,7.31
8.39,7.61,8.16,7.33
8.42,7.64,8.19,7.33
8.45,7.68,8.24,7.33
8.45,7.67,8.28,7.32
8.44,7.65,8.28,7.29
8.4,7.66,8.28,7.25
8.37,7.65,8.27,7.19
8.31,7.59,8.2,7.13
8.24,7.55,8.15,7.04
8.15,7.47,8.08,6.96
8.05,7.38,8,6.85
7.94,7.29,7.91,6.74
7.8,7.16,7.81,6.61
7.66,7.08,7.67,6.47
7.49,6.9,7.53,6.31
