blank,active,,filtered_blank,filtered_active,,6s_average_time,6s_average_value
-1.47427,9.29953,,-1.4608568,9.2993567,,5.9904,5.379955837
-1.47437,9.30529,,-1.461029769,9.299432646,,11.9808,5.379115042
-1.47553,9.30932,,-1.461215372,9.299559204,,17.9712,5.379659528
-1.47455,9.31195,,-1.461386055,9.299717807,,23.9616,5.380314324
-1.47357,9.31198,,-1.46154201,9.299874763,,29.952,5.380253276
-1.47412,9.31088,,-1.461703008,9.30001563,,35.9424,5.379770936
-1.47498,9.30984,,-1.461872953,9.300141382,,,
-1.47455,9.30584,,-1.46203522,9.300214324,,,
-1.47546,9.3002,,-1.462207057,9.300214141,,,
-1.47604,9.29663,,-1.462384118,9.300168264,,,
-1.47437,9.29486,,-1.462537538,9.300100318,,,
-1.47247,9.29608,,-1.462664673,9.300048858,,,
-1.47229,9.29959,,-1.462787877,9.300042984,,,
-1.47113,9.3013,,-1.462894657,9.300059074,,,
-1.46857,9.30178,,-1.462967301,9.300081102,,,
-1.46689,9.30096,,-1.463017512,9.300092352,,,
-1.4661,9.29998,,-1.463056967,9.300090914,,,
-1.46356,9.30029,,-1.463063406,9.300093462,,,
-1.46249,9.29895,,-1.463056067,9.300078826,,,
-1.46274,9.29647,,-1.463052021,9.300032633,,,
-1.46286,9.29553,,-1.463049563,9.299974999,,,
-1.46161,9.29507,,-1.463031137,9.299912215,,,
-1.46213,9.2966,,-1.463019602,9.299869819,,,
-1.4628,9.30148,,-1.463016791,9.299890429,,,
-1.46149,9.30407,,-1.462997248,9.299943928,,,
-1.4606,9.30499,,-1.462966564,9.300008517,,,
-1.46054,9.30526,,-1.462935504,9.300075736,,,
-1.45801,9.30413,,-1.462872457,9.300127631,,,
-1.45416,9.30255,,-1.462760938,9.300158637,,,
-1.45279,9.30139,,-1.46263331,9.300174399,,,
-1.45129,9.29815,,-1.462488115,9.300148486,,,
-1.44916,9.29492,,-1.462317515,9.300081562,,,
-1.44873,9.2926,,-1.462143595,9.299985798,,,
-1.4505,9.29174,,-1.461994557,9.299880252,,,
-1.45145,9.29385,,-1.461859587,9.299803064,,,
-1.45221,9.29443,,-1.461736072,9.299734289,,,
-1.45435,9.29379,,-1.46164153,9.299658202,,,
-1.45642,9.29357,,-1.461574695,9.299580273,,,
-1.45554,9.29275,,-1.461497451,9.299492846,,,
-1.45602,9.29388,,-1.461427339,9.299421001,,,
-1.45694,9.29821,,-1.461369901,9.2994055,,,
-1.45721,9.3016,,-1.461316655,9.29943359,,,
-1.45761,9.30352,,-1.46126921,9.299485896,,,
-1.45972,9.30603,,-1.46124938,9.299569661,,,
-1.46207,9.30712,,-1.461259884,9.299666305,,,
-1.46234,9.30798,,-1.461273709,9.29977272,,,
-1.46338,9.30777,,-1.46130067,9.299875085,,,
-1.46442,9.30532,,-1.461340597,9.29994478,,,
-1.4646,9.3016,,-1.461382317,9.299965967,,,
-1.46436,9.29824,,-1.461420432,9.299943875,,,
-1.46619,9.29641,,-1.461481482,9.299898641,,,
-1.46802,9.29766,,-1.461565175,9.299869987,,,
-1.46756,9.29803,,-1.461641909,9.299846435,,,
-1.4682,9.29715,,-1.461725853,9.29981192,,,
-1.4689,9.29632,,-1.461817682,9.299767224,,,
-1.46744,9.29483,,-1.461889647,9.299704027,,,
-1.46533,9.29376,,-1.461933684,9.299627944,,,
-1.465,9.29437,,-1.461972933,9.299560642,,,
-1.46387,9.29361,,-1.461997215,9.299484474,,,
-1.46234,9.29184,,-1.462001603,9.299386625,,,
-1.46259,9.29104,,-1.462009134,9.299279788,,,
